date,Q1_gross,Q1_net,Q1_n,Q1_turnover,Q2_gross,Q2_net,Q2_n,Q2_turnover,Q3_gross,Q3_net,Q3_n,Q3_turnover,Q4_gross,Q4_net,Q4_n,Q4_turnover,Q5_gross,Q5_net,Q5_n,Q5_turnover,ls_gross,ls_net
2012-01-31,0.022034068351104684,0.020034068351104682,81,1.0,0.03396755481082269,0.03196755481082269,82,1.0,0.03846245943398948,0.03646245943398948,82,1.0,0.07529472064081405,0.07329472064081405,82,1.0,0.059839395293627036,0.057839395293627034,82,1.0,0.03780532694252235,0.03780532694252235
2012-02-29,0.027079805724662422,0.026092151403674768,81,0.49382716049382713,0.031097809493617536,0.02968317534727607,82,0.7073170731707317,0.030241466984679992,0.028924393813948283,82,0.6585365853658536,0.02715207642368087,0.025761832521241843,82,0.6951219512195121,0.02358866057752055,0.022661831309227866,82,0.46341463414634143,-0.0034911451471418727,-0.0034303200944469023
2012-03-30,0.02576001950328146,0.024881970722793655,82,0.4390243902439024,0.003967757588013396,0.002570167226567613,83,0.6987951807228916,0.0009058279436935813,-0.0005088062026478821,82,0.7073170731707317,0.0002567930060839869,-0.0010685081987352905,83,0.6626506024096386,-0.006197323373669346,-0.007112986024271756,83,0.45783132530120485,-0.0319573428769508,-0.03199495674706541
2012-04-30,-0.020303771125186446,-0.020913527222747422,82,0.30487804878048785,-0.043960024252490376,-0.04516484352959881,82,0.6024096385542168,-0.06777108710646561,-0.06918572125280707,82,0.7073170731707317,-0.07426928924106466,-0.07564278321696827,82,0.6867469879518072,-0.07129281511614512,-0.07206389945349452,83,0.3855421686746988,-0.050989043990958674,-0.0511503722307471
2012-05-31,0.04204007986821545,0.041454714014556915,82,0.29268292682926833,0.04784995482038322,0.046596942772190446,83,0.6265060240963856,0.03905243779555045,0.0377109743809163,82,0.6707317073170731,0.022986525719135138,0.02166122451431586,83,0.6626506024096386,0.031109916263225634,0.030170157227081055,83,0.4698795180722891,-0.010930163604989818,-0.01128455678747586
2012-06-29,0.017622563823901552,0.01715914918975521,82,0.23170731707317072,0.00923081178279304,0.00797779973460027,83,0.6265060240963856,-0.0010572608335139469,-0.0023584656527910553,83,0.6506024096385542,0.011223056923861592,0.009994141261210988,83,0.6144578313253012,-0.010860478387572078,-0.011679755496005813,83,0.40963855421686746,-0.02848304221147363,-0.028838904685761023
2012-07-31,-0.007718557594211753,-0.008377094179577606,82,0.3292682926829268,0.0222124578758301,0.02093534944209516,83,0.6385542168674698,0.032106551292515946,0.030877635629865344,82,0.6144578313253012,0.05293615647074944,0.051851819121351846,83,0.5421686746987953,0.0582533837465492,0.057506395794741975,83,0.37349397590361444,0.06597194134076095,0.06588348997431959
2012-08-31,0.019037570627577563,0.01821829351914383,83,0.40963855421686746,0.023121625660772832,0.021812101851249023,84,0.6547619047619048,0.023227047721583835,0.02182945736013805,83,0.6987951807228916,0.026489181668417967,0.025036800716037016,84,0.7261904761904762,0.04581091476293024,0.044953771905787386,84,0.4285714285714286,0.026773344135352678,0.026735478386643557
2012-09-28,0.007405189333838543,0.0064172375266096275,83,0.49397590361445787,-0.0021093769365128625,-0.0035141388412747673,83,0.7023809523809523,0.0020746839951783238,0.0007889697094640381,84,0.6428571428571428,0.001078512508358429,-0.000302439872593952,83,0.6904761904761905,-0.021359288590816365,-0.02214500287653065,84,0.3928571428571429,-0.02876447792465491,-0.028562240403140277
2012-10-31,0.0032979402326366006,0.002454566738660697,83,0.42168674698795183,0.014469516238971384,0.0130719258775256,83,0.6987951807228916,0.020773627144096862,0.019226008096477815,83,0.7738095238095238,0.0159202842025103,0.014450404684438012,83,0.7349397590361446,0.038065551135065365,0.037256027325541556,84,0.40476190476190477,0.03476761090242876,0.034801460586880856
