intercept,factor_mom_z,factor_vol_z,factor_size_z,factor_str_z,date,n_stocks
0.003774052876029596,0.006151090045571617,-0.0010486043105606107,-0.010288469978050626,0.0044790622099088965,2011-01-31,377
-0.0010576454036332948,-0.0018435463637871234,0.005638513056033858,-0.011947478825443798,-0.0029118890039806695,2011-02-28,380
0.0007425810948295952,-0.004017122128583842,-0.005003153508099942,-0.0030538312444773324,0.00400404841221208,2011-03-31,381
0.002402461588151408,-0.004300382263130949,-0.0057015739382515985,-0.0007449106450934109,0.006179776126397255,2011-04-29,385
0.0011903728200597832,0.008255395113116723,-0.007019513469733288,-0.0035169203948793,0.0011097371695470853,2011-05-31,386
-0.00070924323674673,0.009520297767140933,-0.00987357059300501,0.01144036843431926,0.0006876213161609007,2011-06-30,387
0.006638322739042295,-0.0008354965334271304,-0.03308913457346698,-0.008993965109608329,0.003251921371976043,2011-07-29,388
-0.006469227755268852,0.0039165037315137975,-0.030159352288828392,-0.0014803856937883049,0.007806627568917273,2011-08-31,388
0.0036428159422401828,-0.0025430190649084403,0.0324244340879253,-0.003859520335651355,-0.029784405176707714,2011-09-30,385
-0.004254736454235383,0.005497014746066682,-0.009952050353986568,-0.007504364480853439,0.007113602440207003,2011-10-31,390
-0.007185962378443989,-0.004829355881932892,-0.018047326439577998,-0.008729221420559033,-0.0002905238107972727,2011-11-30,391
0.004116487637259957,-0.009309182750847314,0.04517615787555593,-0.002055910130733109,-0.01362591913643234,2011-12-30,394
-0.002120711044934688,0.005715776797222754,0.01572286234474774,0.002831035063884423,-3.243528373114327e-05,2012-01-31,396
0.001986129100047843,0.006004787558864043,9.367634405665537e-05,0.0019291277650384348,0.004734921093596855,2012-02-29,398
-0.0010068113685324034,0.012977635695091732,-0.00525619608179615,-0.0022830337616475695,0.00026050498600057654,2012-03-30,401
-0.0026717228449428666,0.009028311546141733,-0.010447797056006968,-0.006918887309001459,0.008102143164070612,2012-04-30,400
-0.005199399964437357,-0.002669737265894965,-0.007180703589048612,-0.004990704044982647,-0.008765538568161105,2012-05-31,401
-0.007461151162313887,0.006328584514034161,-0.005348028223584189,-0.0022170303299787184,-0.0012096645362280735,2012-06-29,403
0.0018737036493889263,-0.0108933926799104,0.02054589514760484,-0.0017461068951979256,-0.008684144838786486,2012-07-31,402
-0.0002593511466856172,-0.002073457497158883,0.003678170305873573,0.00026426605466143904,0.003216097535576235,2012-08-31,404
-0.0034051243948226635,0.0005137872289319588,-0.0063079031765297874,-0.009458396409366968,0.004371724588727336,2012-09-28,404
-0.0022031500261017753,5.157733248307983e-08,0.009261895909952,-0.004355110717241999,-0.009549291481572703,2012-10-31,405
0.0006950253356088631,0.0021338871090728646,0.015947286530702143,-0.0007639897405362568,-0.00625572662151366,2012-11-30,408
0.0006315563363101278,0.002184212405517948,0.0029635482560610308,-0.0051372203024147335,-0.00030346161164031,2012-12-31,409
-0.0021947897233478035,0.0036947447895593023,-0.002156220504071824,-0.004451855089367796,0.0009705233713828543,2013-01-31,410
-0.0006359356463724659,0.0021631447020730825,0.0018928667680338264,-0.0034231098525533995,0.007266669880169884,2013-02-28,411
0.0017157034200223228,-0.0005046066737876328,-0.0017299740372308167,0.0060397188031844715,0.0022930003266764263,2013-03-28,412
-0.0036991869648443027,0.002056560932709492,0.022446297026246727,0.0083299804629117,-0.009246350354187556,2013-04-30,414
-0.0038644242209994167,-0.003687438021072667,-0.0019946131953535564,-0.007144807757995819,0.006572539414477362,2013-05-31,415
0.0005666680036466278,0.004049509445341686,-0.0020705031346010495,0.0003905783139285012,-0.00407682032629006,2013-06-28,415
0.0018873787660424978,0.0012248945400362239,0.0065839853384754175,-0.0072058142517284094,0.0012796367530294992,2013-07-31,417
-0.0010700560478255653,0.013420352601542007,0.010669226748257064,-0.006218941822260423,0.0015216113665003836,2013-08-30,417
-0.002294678581529693,0.004347009056090993,-0.0012259995296338881,-0.0009063256974231274,0.0009305930178790278,2013-09-30,417
-0.0024041656519563793,0.011596960450294807,-0.00018059689914016056,0.006628966835551541,-0.002416514396469807,2013-10-31,420
0.0010891175871172597,-0.0011954470485657752,0.007478767330572696,0.0016301112917693607,0.0024035778008437442,2013-11-29,421
0.0048582142725684535,-0.0024614482852746613,0.008858699634229071,-0.00820929020741235,0.0033071395821049412,2013-12-31,421
0.0029329394141036627,0.004813668981211864,0.009229715405105338,-0.005611981245091853,-0.0019012625461714333,2014-01-31,423
-0.0007642925716366576,-0.006260154737519653,-0.008306081892319211,0.00023485352886463024,-0.0025059120866814527,2014-02-28,423
0.00031544598335198055,-0.01135722092225533,-0.01023799331431859,0.0018291419104392557,1.4294064845633448e-05,2014-03-31,423
0.003378089264429546,0.005188637976552605,0.0022498778970681,-0.0008112958615524254,-0.0006757851308269517,2014-04-30,423
-0.00045866877857226213,0.0009708928416865756,0.009840376818081366,-0.0021661674305438377,0.0033115450627913324,2014-05-30,426
0.0019598773276484236,0.0001125699077015904,0.0033850378255020712,0.009029587513084898,-0.006177034488217181,2014-06-30,429
0.001320236621252561,5.871803811993096e-05,0.007742228179826243,-0.00375473429817855,-0.00453792867270685,2014-07-31,430
0.0010542517671007236,-0.0005340596266376237,-0.0016919461689918812,0.007088014567986018,-0.0026243879516650243,2014-08-29,430
0.0036938104021362285,-0.003273558288985343,-0.0019896903124284847,-0.014296812145810066,-0.0026246029224206726,2014-09-30,430
-0.0012693484668955678,0.0007476665085214676,-0.0029321626111180107,0.0019690608334616395,0.013105410703560912,2014-10-31,430
-0.003067457073849268,-0.00481863442355582,-0.0035986313208158896,-0.006337380265695897,0.003656839985152091,2014-11-28,431
0.0007337355808207657,0.013335697879270258,-0.0034726892229962865,-0.005365971751339077,-0.0007174613879859495,2014-12-31,432
-0.008537808866891861,-0.011873631752977874,0.014489787354149746,-0.0026837395023300314,-0.015186505825753777,2015-01-30,433
0.004930567799209053,0.012651616422116777,-0.0014484994021964456,-0.01158371413493615,0.003849833943717515,2015-02-27,434
0.0045635787010612034,-0.020977593441903766,0.012351512034466015,0.0006834190489641638,-0.008641381591581359,2015-03-31,436
0.000812891636961972,0.020632307558364142,-0.0011211192769674807,-0.0003759122234085183,-0.0005172363288362635,2015-04-30,437
0.0035655831389505353,0.007598017809335739,-0.007975682999330515,-0.00298022168607095,0.0022297601500517873,2015-05-29,440
-0.003660132860528819,0.012790333692058037,-0.013363317032878476,-0.0007028124666696752,0.0015236335055026648,2015-06-30,440
-0.0003398887851154139,0.004845412011030169,7.281766677323243e-05,-0.003575769846301237,0.0023794830147914774,2015-07-31,441
-8.856812325187306e-05,0.008264350562574005,-0.016951445679797353,-0.002435461566995324,0.004856637110038585,2015-08-31,441
-0.0077617950529999605,-0.007927675939054302,-0.0018212285300715806,0.004686773136723703,-0.00886613356486481,2015-09-30,442
-0.003620362626431431,0.011219327645495403,0.0006505628663748065,-0.0007437929904582477,0.00031712617848206565,2015-10-30,443
-0.004910721877685488,0.010074881802301875,-0.009494643976620502,0.006007438600462717,-0.0010252420182928332,2015-11-30,443
0.005089696563122893,-0.009864086467983847,-0.020740338204745634,-0.0037329630433317815,0.014285444045233993,2015-12-31,443
0.0055863475921738275,-0.01861627642913389,-0.002039889950456985,-0.00633186855397903,-0.010330833526774134,2016-01-29,442
0.003688047555733735,-0.01103772970865957,0.006330871855579274,-0.008467495061138551,-0.012363984729034607,2016-02-29,443
0.00367784824920089,-0.01638596573732551,0.005880062544300298,0.0036646758485923566,-0.0006525192387729307,2016-03-31,443
0.0030722452159596403,-1.724533008598799e-05,-0.0004464931664482742,-0.009481880881806123,-0.0030124111889438736,2016-04-29,444
0.00147542228819877,0.01789571234436693,-0.004228947174399279,-0.001433447044493191,-0.003489103563255692,2016-05-31,444
0.004962665772358981,-0.005103260587737947,0.011874461611163073,-0.002360243325417395,-0.011419790302072083,2016-06-30,445
0.0016094579930489546,-0.019177209021740808,0.00036848432611057575,-0.005805717676122269,0.0008295540829075058,2016-07-29,447
-0.00018809019657048273,0.0023932328073392774,0.007825796700524497,0.0009884930217373678,0.0048936321584989095,2016-08-31,447
-0.0009393144037332205,-0.005798102581759097,-0.004443939202817324,0.0036827227401503505,0.00028262364472653184,2016-09-30,447
-0.0006023083400564371,-0.01660138553224558,0.005515995278273119,-0.004026551186383853,0.008026984472223367,2016-10-31,448
-0.0009458258963248295,-0.002306599859014669,-0.0015597086200031945,0.00013984906566240295,-0.005097623664549477,2016-11-30,450
0.003663905124833481,-0.004253341187071536,0.01625302489711072,0.0024616678128236017,-0.011261548177232275,2016-12-30,451
0.0011677139635248067,-0.0031896972987162583,0.0020995640624991026,-0.002307277517753344,-0.006297308500515951,2017-01-31,452
-0.0004949281280176134,5.4076962714706364e-05,-0.0016236919291171459,0.0008149636550288757,-0.003700588812656409,2017-02-28,452
0.0016978276673155544,-0.00043390715849510623,-0.0009937126288763819,-0.0032029553406610753,0.007506007471294177,2017-03-31,453
0.0008703281494991616,0.0025636272438374587,-0.004321829967978079,0.0036331578919725207,0.014015472862820929,2017-04-28,453
0.0013211624674705936,-0.003760652859655043,0.000860671262015741,-0.003418239832475081,-0.013951135361038989,2017-05-31,454
-0.004008957262467783,0.002463541190556178,0.008102147761841549,-0.0008459563032603863,-0.003948384673697828,2017-06-30,454
-1.0928172896374739e-05,0.0047777825529394975,-0.0070270232072684475,-0.000992156545818361,0.000788963070156471,2017-07-31,455
-0.0032562278453030524,0.0007164492630861666,0.01080199708957347,-0.0029327605965419655,-0.007308846721406043,2017-08-31,455
-0.002481823815663186,0.017930392527881985,-0.0056299391899691,-0.0051070627488085905,0.0018058603902162797,2017-09-29,455
0.0013842420813633884,-0.008508556142668204,0.0024949147941486583,-0.0045109565666131436,-0.001372734196523843,2017-10-31,456
0.0036474261636737664,-0.012104356523900961,0.0115339540038732,0.0022523676752568542,2.6494136196066267e-05,2017-11-30,457
-0.007600469547988957,0.013972421691069718,0.01105783941439433,0.009737016964861992,0.0036960186962025905,2017-12-29,457
0.0037780012177997192,0.0082780254838245,0.0010487627998484053,-0.007994135459219672,0.006492687337125562,2018-01-31,457
0.004877315359949311,-0.001910802662649291,-0.0060355381152175265,-0.013144537758096774,0.005635798005659486,2018-02-28,458
-0.0015822002694390505,-0.0016979554339323173,-0.003478079496227508,0.002340226600761029,0.002938642317614979,2018-03-29,458
0.0014098455298501558,0.016211956483537775,0.01832764282500574,-0.00472438085798984,-0.0042737748407831256,2018-04-30,459
0.002487930277148067,-0.009894730715680585,0.002991623121864993,-0.002967462925893279,-0.005653606432606794,2018-05-31,460
0.007094546838593601,-0.006785874531270468,-0.008077701616408474,-0.0016365279455202884,-0.009859786671976454,2018-06-29,460
0.005530618917510938,0.02324559338174012,0.003396419187298296,-0.0034197092872704196,-0.0006798208016566489,2018-07-31,461
-0.0007719173186620175,-0.0016156328823384693,-0.0037357686450948317,0.0060123207977538905,0.0011521563418196827,2018-08-31,461
0.012100137937597061,-0.02061177962638213,-0.017288557009844524,-0.0019655743439111516,-0.006406009294098744,2018-09-28,462
-0.00684255484602762,-0.009190805531856942,-0.009205816152949612,0.0007289223559719288,-0.009125421564568002,2018-10-31,463
0.0005802516891888357,-0.001359091381278699,-0.007540369001047055,0.002978672276077022,-0.0068453323848740805,2018-11-30,463
-0.0022915532840850337,-0.006354948572305966,0.023657692442587572,-0.005238604414504884,-0.017364605579654118,2018-12-31,463
-0.0005985564863588296,0.0055926129382732545,0.01494654238000495,-0.013728994912123262,-0.006051474622006786,2019-01-31,463
-0.007451416824141548,0.009998279033581291,-0.001701580980619961,-0.00024545769279607884,0.005456239552543866,2019-02-28,463
-0.001461472278877576,-0.012603919937878289,0.0043651685216145614,-0.0021194583015752342,-0.00129152594481379,2019-03-29,463
-0.0015939202946671993,0.018414561977220984,-0.0134376350724149,-0.007902589721702182,-0.005722790747713882,2019-04-30,463
-0.0006129600550237593,0.002269384619298851,0.016385564722051563,-0.0063702831986204985,-0.026237066964441957,2019-05-31,463
-0.0008437125792875157,0.004631095574206772,0.005264158500498059,0.00757887002871034,0.003918916925520842,2019-06-28,464
0.003257340433684659,0.031598796654600275,-0.013309746458901728,-0.0019190605600430837,0.007911580221773554,2019-07-31,464
